179312.535044,-0.030875,-0.009890,0.003505,-0.322201,-0.013762,-0.090066,(null)
179312.585473,0.000790,-0.002381,-0.027376,-0.135484,-0.228919,-0.120540,(null)
179312.617907,-0.014926,-0.024215,-0.037451,-0.106654,-0.111207,-0.130554,(null)
179312.652342,-0.001891,-0.001190,-0.003712,0.106260,-0.096670,-0.078631,(null)
179312.699734,-0.015849,-0.000637,0.010860,0.063655,-0.247505,-0.082418,(null)
179312.718621,-0.014585,-0.009203,0.003041,-0.013996,-0.150490,-0.108983,(null)
179312.767600,-0.010336,-0.003652,-0.011599,-0.043861,0.001368,-0.132252,(null)
179312.801048,-0.000610,0.006234,-0.011360,0.081651,-0.058859,-0.101105,(null)
179312.840397,0.004501,0.010628,-0.003433,0.226869,-0.151049,-0.028903,(null)
179312.867860,-0.016190,-0.019842,0.021102,0.033985,-0.060026,-0.144363,(null)
179312.919749,0.009902,0.016302,-0.019428,0.186292,-0.139867,-0.083866,(null)
179312.963875,-0.001690,0.006012,0.003081,0.343329,-0.061005,0.009286,(null)
179312.984380,-0.003095,-0.003449,0.008573,0.358859,-0.117311,0.009725,(null)
179313.018397,-0.013358,-0.009148,0.031146,0.084387,-0.152515,-0.094692,(null)
179313.034614,-0.005632,0.000286,0.020162,-0.020048,-0.087502,-0.124631,(null)
179313.067993,0.004750,0.010786,0.003231,-0.029953,-0.057710,-0.086433,(null)
179313.097781,-0.001278,-0.008392,-0.004664,0.016962,-0.081830,-0.073288,(null)
179313.136674,0.002528,-0.002506,-0.006905,0.082916,-0.097139,-0.092745,(null)
179313.170088,0.006486,0.009040,0.004552,0.012539,-0.104704,-0.089456,(null)
179313.203815,0.002377,0.004531,-0.018427,0.026834,-0.061677,-0.013990,(null)
179313.250337,-0.000413,-0.000975,-0.008991,0.088817,-0.029274,-0.011657,(null)
179313.278145,-0.008667,-0.001422,0.000127,0.034850,-0.065793,0.008197,(null)
179313.313377,-0.004742,0.002895,-0.009880,0.086724,-0.075654,-0.013677,(null)
179313.351942,0.003388,0.000552,0.006255,0.088680,0.012429,-0.018928,(null)
179313.388948,-0.002801,0.002703,0.007503,0.065254,-0.043983,0.006994,(null)
179313.419468,-0.005075,0.005398,0.001149,0.069003,-0.070070,-0.003297,(null)
179313.451218,0.004949,0.007644,-0.003905,0.047593,-0.005958,-0.006139,(null)
